,Number_of_nodes,Density,ELO_Rating_K,RPSmean,RPSstd,TotalDiffmean,TotalDiffstd
1,50,0.8697959183673469,31,0.2017925389971377,0.1235475291482839,102.27410725819809,55.828888827512685
2,75,0.7392792792792793,27,0.2054618769205295,0.12492024361835348,92.44513822910605,51.21828937656387
3,100,0.6387878787878788,27,0.20074548645563145,0.13264846618557946,92.31047618878038,50.500972177306146
4,125,0.5533548387096774,23,0.20607845991031196,0.12449240698465175,91.42587469391329,47.60552778609707
5,150,0.4900671140939598,27,0.2010142716686456,0.1319804136958801,92.93022784514281,51.066001190126556
6,175,0.43566502463054185,27,0.20053095325796205,0.13129270696228593,94.28998391647615,51.08777112378873
7,200,0.3967085427135678,31,0.19491787464379226,0.13940869712814755,96.65836054138259,52.76477744495858
8,225,0.3606944444444444,27,0.20130305194194717,0.13200261652600895,96.89427650632386,52.56738958882254
9,250,0.3301204819277108,31,0.19576630790068586,0.13963948960606928,97.85891717246793,52.19781484704838
10,275,0.3055872594558726,31,0.19289390293173136,0.1416150266407551,104.9828921149546,55.57690569716597
11,300,0.2854180602006689,35,0.19318537003088668,0.14268139780273614,105.24447927469079,57.94859696363763
12,325,0.2654890788224122,35,0.19157937048329426,0.14504792994073862,105.76797256519004,57.149840766259295
13,350,0.24836676217765044,35,0.19181374594520303,0.144924470095147,107.61204492996751,58.22841094055199
14,375,0.2344313725490196,35,0.1935067212146245,0.142644759045926,108.287892238861,57.539006439468544
15,400,0.2212468671679198,39,0.1879298693775251,0.14884612755618817,111.86133789972948,60.78475932788698
16,425,0.209284128745838,39,0.18880353932354513,0.14735636594809812,114.22055763721205,61.743437242778825
17,450,0.19992576095025985,39,0.18582679696539023,0.14869040068061534,113.44268479955082,62.52618862085863
18,475,0.1900066622251832,35,0.18744903530394605,0.14422734248428865,116.47166335712855,63.11087792176643
19,500,0.18173947895791584,43,0.1819948404788869,0.15165376954984575,121.17557312966984,64.93574080236631
