,Number_of_nodes,ELO_Rating_K,RPS
0,70,50,0.16851444766980436
1,70,150,0.17300959565108587
2,70,250,0.185367751509025
3,80,50,0.16363791333685618
4,80,150,0.1787007015201813
5,80,250,0.18821561600612446
6,90,50,0.15859254490704291
7,90,150,0.1635545746281033
8,90,250,0.1775122913806823
9,100,50,0.16476164308339744
10,100,150,0.17312323799685778
11,100,250,0.18422358286505022
12,110,50,0.16829981054419973
13,110,150,0.17032898021869164
14,110,250,0.17509855067249264
15,120,50,0.14418280452197765
16,120,150,0.1380275158095289
17,120,250,0.14838377788305157
18,130,50,0.146266977036389
19,130,150,0.15864274491382194
20,130,250,0.17479603252309042
21,140,50,0.15962313287827903
22,140,150,0.17057303367012921
23,140,250,0.1754401697811283
24,150,50,0.16756947331248961
25,150,150,0.1698059245480786
26,150,250,0.17261909672249112
27,160,50,0.1451184652561669
28,160,150,0.13909432646081327
29,160,250,0.14700468099132744
30,170,50,0.16119524740818086
31,170,150,0.16976357754788587
32,170,250,0.17907569297164638
33,180,50,0.16641412621203483
34,180,150,0.17531458248964382
35,180,250,0.18318160402619002
36,190,50,0.16412959064188717
37,190,150,0.17079400203876235
38,190,250,0.18129647786358
39,200,50,0.1636046500820312
40,200,150,0.162738778000548
41,200,250,0.172545403096232
