HomeTeam,AwayTeam,Season,Round,Result,home,draw,away,ForecastName,RPS
3,0,0,0,home,0.03625254884049057,0.07477187120506609,0.8889755799544433,true_forecast,0.8595433656858948
3,0,0,0,home,0.1593007765428532,0.22025365493462654,0.6204455685225203,param_forecast,0.5458639439103414
4,1,0,0,home,0.1582023635680319,0.22601995476009956,0.6157776816718685,true_forecast,0.5439027069738145
4,1,0,0,home,0.2446742182393772,0.26651852385231045,0.48880725790831236,param_forecast,0.4047247859880697
5,2,0,0,away,0.6975374731383208,0.18694688138941895,0.11551564547226023,true_forecast,0.634435549918273
5,2,0,0,away,0.4276447465692497,0.2792879023747819,0.2930673510559684,param_forecast,0.34131689970565166
0,4,0,0,away,0.7885857388753934,0.1366993083188427,0.0747149528057639,true_forecast,0.7390099430594449
0,4,0,0,away,0.46724876196480536,0.2717569642349955,0.26099427380019913,param_forecast,0.3822254344568692
1,2,0,0,away,0.6021090158026043,0.23189303946761375,0.1659979447297819,true_forecast,0.5290473475528643
1,2,0,0,away,0.39366957447397377,0.2833452665853601,0.32298515894066615,param_forecast,0.3066624144405573
3,5,0,0,home,0.05849541382280026,0.1125082342883009,0.8289963518888989,true_forecast,0.7868329186189016
3,5,0,0,home,0.18299640985979437,0.23666172076123432,0.5803418693789713,param_forecast,0.502145775828132
5,0,0,0,draw,0.26091855328677616,0.27869827241704437,0.4603831742961795,true_forecast,0.1400155793121453
5,0,0,0,draw,0.2855559699305187,0.2778344319984052,0.43660959807107613,param_forecast,0.13608507654537297
1,3,0,0,away,0.7871851412023009,0.13751845608330948,0.07529640271438964,true_forecast,0.7373685946813173
1,3,0,0,away,0.4665534295598777,0.27191312328188405,0.26153344715823823,param_forecast,0.3815024761500391
2,4,0,0,home,0.3887540714712815,0.2898682089373271,0.3213777195913914,true_forecast,0.23845261189634911
2,4,0,0,home,0.32720565532263346,0.2837067730344891,0.38908757164287744,param_forecast,0.3020206843183992
4,3,0,0,away,0.5477636470479618,0.25309011543538695,0.19914623751665128,true_forecast,0.47070588095550997
4,3,0,0,away,0.3761034451118738,0.28447648536329245,0.3394200695248337,param_forecast,0.2889098229857979
5,1,0,0,draw,0.42268796773662576,0.2858412105564082,0.29147082170696603,true_forecast,0.13181017898792638
5,1,0,0,draw,0.3376204888518144,0.2843884178025038,0.3779910933456818,param_forecast,0.12843243057060102
0,2,0,0,away,0.7709924418713113,0.14689045943553503,0.08211709869315365,true_forecast,0.7184691829670806
0,2,0,0,away,0.4587542378283161,0.27360807214688293,0.267637690024801,param_forecast,0.3734050018988243
1,0,0,0,home,0.21190675268177447,0.25975612401766257,0.5283371233005629,true_forecast,0.45011554116304997
1,0,0,0,home,0.26740603838532023,0.27354617710470436,0.4590477845099754,param_forecast,0.3737093905289038
3,2,0,0,away,0.19985383622978128,0.2534803414128296,0.5466658223573891,true_forecast,0.12272671623733124
3,2,0,0,away,0.26261855361654024,0.27222420391687224,0.4651572424665875,param_forecast,0.17751263999479414
4,5,0,0,home,0.1017826506565627,0.17159108493494105,0.7266262644084962,true_forecast,0.6673900673948983
4,5,0,0,home,0.21486302333954987,0.25421213285563393,0.5309248438048162,param_forecast,0.44916063094434033
